judul,isi_laporan,info,link,impact,urgency,prioritas
Dugaan Pungutan Liar,"Lokasi jl. tamim(pertokoan kain)
pada saat masuk jl. tamim ada pos yang dijaga berbaju dishub, memberikan karcis parkir dengan dalih (masuk kawasan) dan saat berhenti di cv pelita sejati sekitar 150 meter dari pos, terdapat tukang parkir berbaju dishub memberikan karcis parkir lagi dengan dalih(yang depan/pos adalah karcis parkir untuk masuk kawasan, sedangkan karcis parkir dia adalah untuk parkir ditempat tersebut) .
sejak kapan karcis parkir dishub digunakan sebagai karcis masuk kawasan tamim, dan sejak kapan masuk tamim ada tiket masuk dan konyolnya menggunakan karcis parkir dishub","  SELASA, 2026/02/03 |   LAINNYA TERKAIT PERHUBUNGAN |   LAPORAN 16 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/dugaan-pungutan-liar-202602032228261770132506965,2,2,4
Pedagang Kaki Lima Di Sekeliling Taman Pandawa Sangat Mengganggu Lalu Lintas Kendaraan,"Di area sekeliling taman pandawa sangat penuh dan semrawut dengan adanya pedagang kaki lima yang menggunakan gerobak. pedagang mulai berjualan dari jam 6 pagi, dan sangat mengganggu aktivitas kami sebagai warga yang bertempat tinggal di sekitar taman pandawa. ditambah juga, banyak orang yang parkir kendaraan (mobil dan motor) di depan gerobak sampai di depan pagar rumah kami sehingga hampir setengah badan jalan tertutup. kami sebagai warga di sekitar lapang sulit sekali untuk keluar masuk kendaraan ke rumah kami sendiri. selain itu lalu lintas kendaraan terutama mobil yang akan melintas jadi sangat sulit, karena setengah badan jalan tertutup. di area trotoar di depan rumah kami juga dipakai untuk berjualan dan trotoar dipakai untuk parkir motor. selain itu, kami merasa privasi kami sangat terganggu karena jika kami sedang ada aktivitas di area pekarangan rumah seperti keluar masuk mobil, para pedagang bisa dengan leluasa melihat ke area dalam rumah kami. mohon tindakannya supaya pedagang kaki lima dilarang berjualan di area lapang pendawa dan sekitarnya. terimakasih","  LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 7 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pedagang-kaki-lima-di-sekeliling-taman-pandawa-sangat-mengganggu-lalu-lintas-kendaraan-202511141012511763089971791,2,2,4
Kirmir Bolong Di Jl Sindanglaya 135 & Jl Arcamanik Sindanglaya 123A,"Kirmir bolong di jl sindanglaya 135 kata pa rt 1 ada lubang ngagorowong di kirmir nya depan toko nurjaya yg difoto diberi coretan warna ungu & sindanglaya 123a yg diberi coretan warna biru di kirmir nyaterdapat kirmir yg sudah di pelur namun dirusak lagi di kota bandung tepatnya jl arcamanik sindanglaya pasempar 123a rt 01 rw 06 kelurahan pasir impun kecamatan mandalajati 40195 (google maps) hipnoterapi bandung arcamanik 123aketika rusak (ada bolong) sehingga air kurang mengalir, terkadang sering ada nyamuk / tikus yg lingkaran kuning sudah di tutup, tinggal yg garis biru lubang sedikit lagi belum ditutup & kirmir belum di pelur (semen) lagi maaf mau bertanya kenapa ya laporan nya selesai otomatis 10 hari terkadang selesai otomatis 9 hari ? padahal belum ada perbaikan jika nanti sudah selesai perbaikan akan saya pasang cctv agar terlihat tukang beling yg mempacul di kirmir",DRAINASE (GORONG-GORONG/PARIT) |   LAPORAN 1 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/kirmir-bolong-di-jl-sindanglaya-135-jl-arcamanik-sindanglaya-123a-202508260937241756175844751,3,3,9
Permohonan Penebangan Pohon,"Dengan hormat, bapak kepala dinas perumahan dan kawan permukiman kota bandung laporan dan keluhan dari warga rt 01 rw 06 kelurahan cigadung mengenai pohon yang tumbuh di tembok rumah dan telah mengakar kedalam tembok. sehingga menyebabkan keretakan dan kebocoran. bersama ini kami teruskan permohonan warga tersebut untuk dapat ditindaklanjuti sebagaimana mestinya. adapun lokasi pohon yang dimaksud berada di jl. cigadung raya tengah no. 21 (titik koordinat hitps://shorttel.al/ov5gb). mengingat kondisi pohon yang berpotensi menimbulkan kerusakan lebih parah apabila patah atau roboh. demikian kami sampaikan, kami mohon kiranya bapak kepala dinas perumahan dan kawasan permukiman kota bandung dapat menindaklanjuti permohonan yang dimaksud. atas perhatian dan kerja samanya kami ucapkan terima kasih.","  JUMAT, 2025/11/14 |   TOPIK LAINNYA |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/permohonan-penebangan-pohon-202511141435361763105736908,1,3,3
Laporan Jalan Berlubang (Pothole) Dan Permohonan Penanganan,"Dengan hormat,

melalui layanan lapor! (lapor.go.id), kami ingin menyampaikan laporan terkait adanya jalan berlubang (pothole) yang berpotensi membahayakan keselamatan pengguna jalan.

lokasi:
jl. sersan bajuri no.91, kel. isola, kec. sukasari, kota bandung, jawa barat 40154
link: https://maps.app.goo.gl/5ysfefestuznxrda8?g_st=aw

kondisi jalan berlubang tersebut berisiko menimbulkan kecelakaan lalu lintas, khususnya bagi pengendara sepeda motor, serta dapat menyebabkan kerusakan kendaraan dan mengganggu kelancaran arus lalu lintas.

sebagai dasar, pemeliharaan dan perbaikan jalan merupakan tanggung jawab penyelenggara jalan sebagaimana diatur dalam peraturan perundang-undangan terkait jalan dan keselamatan lalu lintas. sehubungan dengan hal tersebut, kami memohon agar laporan ini dapat ditindaklanjuti melalui koordinasi dan eskalasi kepada dinas/instansi berwenang untuk dilakukan pengecekan lapangan serta perbaikan secepatnya.

demikian laporan ini kami sampaikan. atas perhatian dan tindak lanjutnya, kami ucapkan terima kasih.

hormat kami,
pelapor","  RABU, 2026/04/15 |   JALAN BERLUBANG |   LAPORAN 6 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/laporan-jalan-berlubang-pothole-dan-permohonan-penanganan-202604151202291776229349409,3,3,9
Pengaduan Kinerja Ketua Rw Di Tingkat Kelurahan,"Dengan hormat,
kami yang bertanda tangan di bawah ini, mewakili para ketua rt 02-08 serta warga masyarakat rw 01 kelurahan sukawarna, kecamatan sukajadi, dengan ini menyampaikan pengaduan masyarakat terkait tidak optimalnya tindak lanjut pihak kelurahan sukawarna terhadap permasalahan kinerja ketua rw 01 yang telah disampaikan secara resmi oleh warga.
adapun pengaduan ini kami sampaikan berdasarkan kronologis sebagai berikut:

1.berdasarkan laporan dan aspirasi warga dari seluruh rt (rt 02 s.d. rt 08) di wilayah rw 01 kelurahan sukawarna, koordinator rt telah melaksanakan rapat khusus yang dihadiri oleh para ketua rt 02–08. rapat tersebut membahas tidak optimalnya kinerja ketua rw 01 dalam menjalankan tugas dan fungsi sebagaimana mestinya.
dari hasil rapat tersebut, disepakati bersama untuk membuat surat mosi tidak percaya terhadap ketua rw 01 sebagai bentuk aspirasi resmi warga.

2.setelah terbitnya surat mosi tidak percaya, kemudian diselenggarakan rapat yang dihadiri oleh ketua rw 01, ketua rt 02–08, tokoh masyarakat, serta perwakilan warga. dalam rapat tersebut, ketua rw 01 menyatakan tidak bersedia mengundurkan diri, sehingga warga dan para ketua rt memutuskan untuk meneruskan surat mosi tidak percaya tersebut kepada pihak kelurahan sukawarna guna ditindaklanjuti sesuai dengan kewenangan dan mekanisme yang berlaku.

3.setelah surat diterima oleh pihak kelurahan, jawaban yang diberikan memerlukan waktu kurang lebih lebih dari satu minggu. menurut pandangan dan penilaian kami, jawaban serta solusi yang disampaikan oleh pihak kelurahan tidak memuaskan dan tidak menyentuh substansi permasalahan.
pihak kelurahan hanya menyarankan untuk kembali mengadakan rapat atau rembug warga rw 01 yang melibatkan ketua rw, ketua rt, tokoh agama, tokoh masyarakat, dan perwakilan warga.
padahal, rapat tersebut pada prinsipnya telah dilakukan, dan dalam forum tersebut telah jelas dan tegas disampaikan kehendak mayoritas warga rw 01 untuk mengganti ketua rw 01.
oleh karena itu, koordinator rt serta warga berharap bapak lurah secara aktif memanggil ketua rw 01 beserta jajaran terkait untuk mengklarifikasi penyebab timbulnya surat mosi tidak percaya dari warga rw 01, bukan sekadar mengembalikan persoalan kepada warga melalui rapat ulang.


4.karena lamanya respons dan tidak adanya tindak lanjut yang nyata dari pihak kelurahan, maka surat mosi tidak percaya tersebut kami lanjutkan kepada pihak kecamatan sukajadi, yang kemudian memberikan respons dengan sangat baik.
setelah adanya tindak lanjut dari pihak kecamatan, barulah pihak kelurahan mengeluarkan surat undangan rapat yang ditujukan kepada ketua rw, para ketua rt, tokoh masyarakat, tokoh agama, serta perwakilan warga.

melalui pengaduan ini, kami memohon perhatian dan tindak lanjut yang tegas serta terukur dari dinas terkait, dengan harapan agar:

1.dilakukan evaluasi secara menyeluruh, objektif, dan akuntabel terhadap penanganan pengaduan warga rw 01 terhadap pihak kelurahan sukawarna, mengingat pelayanan dan respons yang diberikan dinilai tidak memuaskan serta belum mencerminkan prinsip pelayanan publik yang responsif dan profesional, sehingga perlu dilakukan perbaikan secara nyata;
2.aspirasi dan kehendak mayoritas warga rw 01 dipertimbangkan dan ditindaklanjuti secara serius, sebagai bagian dari pelaksanaan prinsip akuntabilitas pemerintahan, pelayanan publik yang baik, serta demokrasi di tingkat lingkungan;
3.tindak lanjut atas pengaduan ini dapat disampaikan kepada warga dalam jangka waktu yang wajar dan jelas, agar tidak menimbulkan ketidakpastian serta menjaga kepercayaan masyarakat terhadap penyelenggaraan pemerintahan di tingkat kelurahan dan kecamatan.

demikian pengaduan ini kami sampaikan dengan sebenar-benarnya. besar harapan kami agar pengaduan ini memperoleh perhatian serius serta tindak lanjut yang konkret dan terukur sebagaimana mestinya. atas perhatian bapak, kami ucapkan terima kasih.


hormat kami,

perwakilan koordinator rt dan warga rw 01
kelurahan sukawarna, kecamatan sukajadi","  MINGGU, 2025/11/30 |   TOPIK LAINNYA |   LAPORAN 14 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pengaduan-kinerja-ketua-rw-di-tingkat-kelurahan-202601030846441767404804615,2,1,2
Baiknya Dibuatkan Jembatan Penyebrangan Di Pasteur Depan Sekolah Trimulia Jalan Pasteur,Sebaiknya dibuatkan jembatan penyebrangan untuk sekolah trimulia di pasteur. agar anak sekolah tidak perlu memutar kendaraan saat drop anak sekolah. anak sekolah adalah asset masa depan pemerintah. lindungi sebaik mungkin.,JEMBATAN PENYEBERANGAN ORANG (JPO) |   LAPORAN 4 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/baiknya-dibuatkan-jembatan-penyebrangan-di-pasteur-depan-sekolah-trimulia-jalan-pasteur-202603110738351773189515687,3,1,3
Penjualan Lks Oleh Sekolah,"Terjadi penjualan lks di sekolah dasar pelita yg beralamat di jl. citamiang no. 43 bandung, khusunya pada anak sy dibangku sekolah dasar kls 2, mohon ditindak lanjuti pak. bukti ss dr grup wali kelas dan org tua siswa. selain ituada pungutan 2rb per hari/siswa dgn dalih untuk dana kenaikan kelas atau perpisahan kelas, tolong pak, sekolah ini bnyk oknum gurunya, terimakasih semoga segera ditindaklanjuti.",PENDIDIKAN DASAR DAN MENENGAH |   LAPORAN 1 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/penjualan-lks-oleh-sekolah-202602131317041770963424497,3,1,3
Penjual Rongsokan Yang Barangnya Sampai Ke Jalan Raya,"Dengan hormat kepada pihak terkait. saya ingin mengadukan bahwa di tepi jalan raya jalan jamika farma no. 115 kota bandung terdapat penjual rongsokan yang barang-barangnya sampai ke jalan raya sehingga mengganggu kelancaran kendaraan dan pejalan kaki karena sering kali ada yg tiba-tiba berkerumun dan berhenti mendadak, selain itu menyebabkan jalanan kotor dan mengganggu pemandangan. sekian informasi dari saya. mohon segera di tindaklanjuti kepada pihak terkait atau satpolpp kota bandung. terima kasih.",KETERTIBAN UMUM |   LAPORAN 1 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/penjual-rongsokan-yang-barangnya-sampai-ke-jalan-raya-202602030825491770081949168,3,2,6
Jual Beli Lks Oleh Sd Swasta,"Halo, saya orangtua dari anak saya yg bersekolah di salah satu sd swasta/ mi di kota bandung. saya mau menanyakan regulasi, apakah sekolah (terutama guru) masih diperbolehkan menjual buku non-wajib yakni buku lks? terlebih buku lks ini dijadikan oleh guru sbg nilai tambah dalam aspek penilaian akademik siswa. -mohon tanggapannya
lokasi kejadian kota bandung bojongloa kaler kopo jalan kopo
aduan ini menjadi kewenangan pemerintah kota bandung",LAINNYA TERKAIT PENDIDIKAN DASAR DAN MENENGAH |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/jual-beli-lks-oleh-sd-swasta-202508201055311755662131666,3,1,3
