final_text,label
laporan jalan berlubang pothole dan permohonan penanganan adanya jalan berlubang pothole yang berpotensi membahayakan keselamatan pengguna jalan lokasi jalan sersan bajuri no kel isola kec sukasari kota bandung jawa barat link kondisi jalan berlubang tersebut berisiko menimbulkan kecelakaan lalu lintas khususnya bagi pengendara sepeda motor serta dapat menyebabkan kerusakan kendaraan dan mengganggu kelancaran arus lalu lintas sebagai dasar pemeliharaan dan perbaikan jalan merupakan tanggung jawab penyelenggara jalan sebagaimana diatur dalam peraturan perundang undangan terkait jalan dan keselamatan lalu lintas sehubungan dengan hal tersebut kami memohon agar laporan ini dapat ditindaklanjuti melalui koordinasi dan eskalasi kepada dinas instansi berwenang untuk dilakukan pengecekan lapangan serta perbaikan secepatnya demikian laporan ini kami sampaikan atas perhatian dan tindak lanjutnya kami ucapkan kami pelapor,HIGH
bpkb hilang untuk bapenda jabar saya mohon di tindak lanjuti ke samsat sumedang saya pemilik motor honda astrea grand tahun pada tahun kemarin waktu ada program bbn gratis saya balik nama motor saya melalui orang samsat sumedang dengan nama bapak engkos orangnya berkumis saya sampai sekarang belum menerima bpkb hanpir sudah tahun saya pernah datang ke samsat sumedang menanyakan ke bapak engkos dia ngasi penjelasan ke saya kayanya bpkb tertukar atau hilang di samsat saya bingung motor saya jadi tidak ada bpkbnya padahal motor saya tidak bodong boleh di cek plat no z cza mohon untuk bapenda jabar kasih solusi ke saya dan samsat sumedang karena saya merasa sudah di rugikan,LOW
informasi bibit ayam assalamualaikum izin bertanya apakah di dinas perikanan dan peternakan sumedang ada bibit ayam kub,LOW
mohon segera di selesaikan pelebaran jalan jatinunggal sumedang dikarenakan banyak aktivitas masyarakat yang terganggu selama bulan lebih dan membahayakan pengguna jalan mohon agar proyek pelebaran jalan di jatinunggal segera di selesaikan secepatnya kami mohon segera di selesaikan dan di percepat karena mobil tidak bisa masuk garasi dan membahayakan pengguna jalan tolong perbaiki tembok jalan warga yang di rusak oleh beko kami mohon perhatian nya dan di perhatikan lokasi blok jatinunggal dekat polsek kebawah,MEDIUM
transportasi tmb kenapa selalu lama ya bus tmb koridor saya nunggu sekitar jam di halte flyover cikapayang apa rubah rute atau gimana,HIGH
pengaduan kinerja ketua rukun warga di tingkat kelurahan kami yang bertanda tangan di bawah ini mewakili para ketua rukun tetangga serta warga masyarakat rukun warga kelurahan sukawarna kecamatan sukajadi dengan ini menyampaikan pengaduan masyarakat terkait tidak optimalnya tindak lanjut pihak kelurahan sukawarna terhadap permasalahan kinerja ketua rukun warga yang telah disampaikan secara resmi oleh warga adapun pengaduan ini kami sampaikan berdasarkan kronologis sebagai berikut berdasarkan laporan dan aspirasi warga dari seluruh rukun tetangga rukun tetangga s d rukun tetangga di wilayah rukun warga kelurahan sukawarna koordinator rukun tetangga telah melaksanakan rapat khusus yang dihadiri oleh para ketua rukun tetangga rapat tersebut membahas tidak optimalnya kinerja ketua rukun warga dalam menjalankan tugas dan fungsi sebagaimana mestinya dari hasil rapat tersebut disepakati bersama untuk membuat surat mosi tidak percaya terhadap ketua rukun warga sebagai bentuk aspirasi resmi warga setelah terbitnya surat mosi tidak percaya kemudian diselenggarakan rapat yang dihadiri oleh ketua rukun warga ketua rukun tetangga tokoh masyarakat serta perwakilan warga dalam rapat tersebut ketua rukun warga menyatakan tidak bersedia mengundurkan diri sehingga warga dan para ketua rukun tetangga memutuskan untuk meneruskan surat mosi tidak percaya tersebut kepada pihak kelurahan sukawarna guna ditindaklanjuti sesuai dengan kewenangan dan mekanisme yang berlaku setelah surat diterima oleh pihak kelurahan jawaban yang diberikan memerlukan waktu kurang lebih lebih dari satu minggu menurut pandangan dan penilaian kami jawaban serta solusi yang disampaikan oleh pihak kelurahan tidak memuaskan dan tidak menyentuh substansi permasalahan pihak kelurahan hanya menyarankan untuk kembali mengadakan rapat atau rembug warga rukun warga yang melibatkan ketua rukun warga ketua rukun tetangga tokoh agama tokoh masyarakat dan perwakilan warga padahal rapat tersebut pada prinsipnya telah dilakukan dan dalam forum tersebut telah jelas dan tegas disampaikan kehendak mayoritas warga rukun warga untuk mengganti ketua rukun warga oleh karena itu koordinator rukun tetangga serta warga berharap bapak lurah secara aktif memanggil ketua rukun warga beserta jajaran terkait untuk mengklarifikasi penyebab timbulnya surat mosi tidak percaya dari warga rukun warga bukan sekadar mengembalikan persoalan kepada warga melalui rapat ulang karena lamanya respons dan tidak adanya tindak lanjut yang nyata dari pihak kelurahan maka surat mosi tidak percaya tersebut kami lanjutkan kepada pihak kecamatan sukajadi yang kemudian memberikan respons dengan sangat baik setelah adanya tindak lanjut dari pihak kecamatan barulah pihak kelurahan mengeluarkan surat undangan rapat yang ditujukan kepada ketua rukun warga para ketua rukun tetangga tokoh masyarakat tokoh agama serta perwakilan warga melalui pengaduan ini kami memohon perhatian dan tindak lanjut yang tegas serta terukur dari dinas terkait dengan harapan agar dilakukan evaluasi secara menyeluruh objektif dan akuntabel terhadap penanganan pengaduan warga rukun warga terhadap pihak kelurahan sukawarna mengingat pelayanan dan respons yang diberikan dinilai tidak memuaskan serta belum mencerminkan prinsip pelayanan publik yang responsif dan profesional sehingga perlu dilakukan perbaikan secara nyata aspirasi dan kehendak mayoritas warga rukun warga dipertimbangkan dan ditindaklanjuti secara serius sebagai bagian dari pelaksanaan prinsip akuntabilitas pemerintahan pelayanan publik yang baik serta demokrasi di tingkat lingkungan tindak lanjut atas pengaduan ini dapat disampaikan kepada warga dalam jangka waktu yang wajar dan jelas agar tidak menimbulkan ketidakpastian serta menjaga kepercayaan masyarakat terhadap penyelenggaraan pemerintahan di tingkat kelurahan dan kecamatan demikian pengaduan ini kami sampaikan dengan sebenar benarnya besar harapan kami agar pengaduan ini memperoleh perhatian serius serta tindak lanjut yang konkret dan terukur sebagaimana mestinya atas perhatian bapak kami ucapkan kami perwakilan koordinator rukun tetangga dan warga rukun warga kelurahan sukawarna kecamatan sukajadi,LOW
rumah tidak layak huni sudahmau roboh ibu bapak yang ter saya mau pengaduan tentang bantuan rumah tidak layak huni untuk di renovasi saya sudah melaporkan ke desa rancamulya kec sumedang utara sudah tahun tapi belum ada kelanjutan setiap di tanyakan ke desa alasannya belum ada anggaran saya minta tolong bantuannya bapak ibu sebelum ada korban jiwa tertimpa atap rumah,MEDIUM
permohonan surat declaration of residence nationality and marital status yth bapak ibudinas kependudukan dan pencatatan sipil kota bandung perkenalkan saya santi velantia warga negara indonesia dengan ktp kota bandung saat ini saya sedang mempersiapkan dokumen untuk keperluan administrasi pernikahan dengan warga negara asing di belanda salah satu dokumen yang dipersyaratkan oleh pihak otoritas setempat adalah declaration of residence nationality and marital status yang akan digunakan untuk proses administrasi di belanda dan selanjutnya diajukan apostille di kementerian hukum dan ham republik indonesia sehubungan dengan hal tersebut saya ingin menanyakan apakah disdukcapil kota bandung dapat menerbitkan surat keterangan yang memuat informasi mengenai domisili alamat tempat tinggal kewarganegaraan wni status perkawinan belum menikah apa saja persyaratan dokumen yang perlu saya siapkan untuk pengajuan surat tersebut informasi ini sangat saya perlukan agar dokumen yang diterbitkan sesuai dengan ketentuan yang berlaku untuk penggunaan di luar negeri atas perhatian dan bantuan bapak ibu saya ucapkan,LOW
apakah mobil truk wajib kir apakah mobil mobil truk yang beroperasi dijalan sumedang kir nya masih aktif dan selalu dilakukan pengecekan terutama untuk truk truk yang overload apakah sudah ada uji pemeriksaannya bolehkah hasil kegiatan yang paling terbarunya dipublikasikan untuk umum,MEDIUM
membuat kartu keluarga katanya bisa membuat kartu keluarga secara online di aplikasi tahu sumedng tapi kok punya saya di batalkan terus ya begimana ini teh saya tidak ada waktu mengurus secara online tolong lah di permudah giliran menyalahkan pemerintah malah tidak mau giliran di turutin aturan nyah malah di persulit di per susah,LOW
permohonan bantuan benih ikan untuk mendapatkan nilai tambah penghasilan apakah anggota kelompok tani bisa mendapatkan bantuan benih ikan bapak makasih,LOW
perusahaan daerah air minum kabupaten sumedang terjadi kejanggalan biaya lonjakan penggunaan layanan penagihan pada perusahaan daerah air minum id pelanggan an h joko s di periode dan periode sementara penggunaan air tidak digunakan secara wajar hampir tidak pernah digunakan tempat tersebut sudah kosong selama bulan dan penggunaan debit air dirasa tidak digunakan selama bulan terakhir mohon petugas memastikan pengecekan kondisi alat ukur dan validitas harga terhadap nilai yang ditagihkan karena mengakibatkan kerugian bagi pelanggan demikian,LOW
pembelian bibit ikan dipalih dieu icalan bibit lauk,LOW
permohonan perbaikan dinding atau tembok batas sungai cikelay telah terjadi roboh rusaknya dinding tembok batu kirmir di aliran sungai cikiley di belakang gsg rukun warga jalan tanjungsari raya kelurahan antapani wetan kecamatan antapani hal tersebut berpotensi menimbulkan banjir serta membahayakan masyarakat kami memohon agar dapat diperbaiki dinding tembok batu kirmir tersebut pihak pengurus rukun warga telah melaporkan kejadian ini ke tingkat kelurahan sejak oktober dan direspon oleh tim kelurahan namun sampai saat ini belum ditindaklanjuti,HIGH
